Address,Square ft,Sale Date,Price,Beds,Baths
"2230 Electric Ln, Charlotte, NC 28205",--,Sold 04/27/2023,"$565,500",--,--
"2234 Electric Ln, Charlotte, NC 28205",--,Sold 04/27/2023,"$531,000",--,--
"2238 Electric Ln, Charlotte, NC 28205",--,Sold 04/26/2023,"$555,000",--,--
"1127 E 35th St, Charlotte, NC 28205","1,456",Sold 04/25/2023,"$325,000",3,1
"2528 Pinckney Ave, Charlotte, NC 28205","2,342",Sold 04/25/2023,"$912,528",4,3
"900 Herrin Ave, Charlotte, NC 28205","1,369",Sold 04/20/2023,"$440,000",3,1
"927 Woodside Ave, Charlotte, NC 28205",990,Sold 04/17/2023,"$380,000",3,1
"701 E 37th St, Charlotte, NC 28205","1,432",Sold 04/12/2023,"$485,000",2,2
"721 E 37th St, Charlotte, NC 28205","1,820",Sold 04/06/2023,"$720,000",4,3
"3009 N Myers St, Charlotte, NC 28205","1,656",Sold 03/29/2023,"$590,000",3,2
"2901 Yadkin Ave, Charlotte, NC 28205","2,322",Sold 03/14/2023,"$650,000",2,2
"2245 Electric Ln, Charlotte, NC 28205",--,Sold 03/01/2023,"$632,000",--,--
"935 Academy St, Charlotte, NC 28205",--,Sold 03/01/2023,"$789,000",--,--
"2253 Electric Ln, Charlotte, NC 28205",--,Sold 02/28/2023,"$529,500",--,--
"2249 Electric Ln, Charlotte, NC 28205",--,Sold 02/28/2023,"$549,500",--,--
"2257 Electric Ln, Charlotte, NC 28205",--,Sold 02/28/2023,"$675,000",--,--
"727 E 35th St, Charlotte, NC 28205","2,468",Sold 02/27/2023,"$810,000",4,3
"3505 Oakwood Ave, Charlotte, NC 28205",--,Sold 02/27/2023,"$787,000",--,--
"924 Matheson Ave, Charlotte, NC 28205",952,Sold 02/17/2023,"$345,000",3,1
"921 Woodside Ave, Charlotte, NC 28205","1,812",Sold 02/17/2023,"$365,000",3,3
"3029 Clemson Ave, Charlotte, NC 28205","2,465",Sold 02/10/2023,"$760,000",4,3
"1444 Winston Dr, Charlotte, NC 28205",930,Sold 02/09/2023,"$285,000",3,1
"1403 Herrin Ave, Charlotte, NC 28205","1,604",Sold 02/06/2023,"$356,900",3,2
"2233 Electric Ln, Charlotte, NC 28205",--,Sold 02/01/2023,"$550,500",--,--
"2237 Electric Ln, Charlotte, NC 28205",--,Sold 02/01/2023,"$539,000",--,--
"3105 Whiting Ave, Charlotte, NC 28205","2,242",Sold 12/16/2022,"$775,000",3,4
"2811 Whiting Ave, Charlotte, NC 28205","1,502",Sold 12/15/2022,"$575,500",3,3
"3123 N Davidson St SUITE 101, Charlotte, NC 28205",868,Sold 12/12/2022,$4.20M,--,--
"3123 N Davidson St SUITE 102, Charlotte, NC 28205",985,Sold 12/12/2022,$4.20M,--,--
"3123 N Davidson St SUITE 103, Charlotte, NC 28205","2,064",Sold 12/12/2022,$4.20M,--,--
"3123 N Davidson St SUITE 104, Charlotte, NC 28205","2,347",Sold 12/12/2022,$4.20M,--,--
"509 Patterson St, Charlotte, NC 28205","2,775",Sold 12/06/2022,"$785,000",4,3
"733 Herrin Ave, Charlotte, NC 28205","2,119",Sold 12/02/2022,"$643,500",3,3
"2144 Electric Ln, Charlotte, NC 28205",--,Sold 11/22/2022,"$224,000",--,--
"1114 Leigh Ave, Charlotte, NC 28205",876,Sold 11/10/2022,"$360,000",2,1
"1500 Winston Dr, Charlotte, NC 28205",943,Sold 11/10/2022,"$375,000",3,1
"516 E 35th St, Charlotte, NC 28205","7,376",Sold 11/10/2022,$3.90M,3,--
"3217 Yadkin Ave, Charlotte, NC 28205","1,356",Sold 11/09/2022,$6.50M,3,1
"3608 Oakwood Ave, Charlotte, NC 28205","2,172",Sold 10/31/2022,"$697,000",3,2
"2214 Electric Ln, Charlotte, NC 28205",--,Sold 10/31/2022,"$224,000",--,--
"2132 Electric Ln, Charlotte, NC 28205",--,Sold 10/28/2022,"$528,000",--,--
"2148 Electric Ln, Charlotte, NC 28205",--,Sold 10/27/2022,"$553,000",--,--
"2140 Electric Ln, Charlotte, NC 28205",--,Sold 10/26/2022,"$443,500",--,--
"3120 Clemson Ave, Charlotte, NC 28205","1,962",Sold 10/20/2022,"$715,000",4,3
"3109 N McDowell St, Charlotte, NC 28205","2,542",Sold 10/17/2022,$1.04M,4,4
"851 Woodside Ave, Charlotte, NC 28205","3,224",Sold 10/14/2022,$1.25M,5,4
"2210 Electric Ln, Charlotte, NC 28205",--,Sold 10/03/2022,"$224,000",--,--
"3113 Whiting Ave, Charlotte, NC 28205","2,232",Sold 09/23/2022,"$800,000",3,4
