Address,Square ft,Sale Date,Price,Beds,Baths
"1526 Maryland Ave, Charlotte, NC 28209","2,642",Sold 05/22/2023,$1.61M,4,3
"101 Hermitage Rd, Charlotte, NC 28207","5,978",Sold 05/22/2023,$2.60M,5,6
"2000 Myerly Pl, Charlotte, NC 28211","3,107",Sold 05/22/2023,$1.38M,5,4
"2041 Norton Rd, Charlotte, NC 28207","7,676",Sold 05/17/2023,$3.15M,5,6
"265 Hillside Ave, Charlotte, NC 28209","4,562",Sold 05/16/2023,$2.60M,6,5
"1300 Queens Rd W, Charlotte, NC 28207","10,153",Sold 05/15/2023,$3.50M,8,11
"1367 S Kings Dr #7, Charlotte, NC 28207","3,016",Sold 05/12/2023,$1.61M,3,4
"1333 Queens Rd #A1, Charlotte, NC 28207","2,428",Sold 05/12/2023,$1.20M,2,4
"1010 Queens Rd UNIT A, Charlotte, NC 28207","1,444",Sold 05/10/2023,"$520,000",2,3
"1808 Lynnwood Dr, Charlotte, NC 28209",732,Sold 05/10/2023,"$375,000",2,1
"2808 Glendale Rd, Charlotte, NC 28209","2,000",Sold 05/09/2023,$1.07M,3,2
"2632 Sherwood Ave, Charlotte, NC 28207","3,720",Sold 05/08/2023,$3.00M,4,4
"2139 Malvern Rd, Charlotte, NC 28207","3,498",Sold 05/05/2023,$2.70M,4,5
"2229 Malvern Rd, Charlotte, NC 28207","3,844",Sold 05/04/2023,$2.60M,5,5
"2503 Roswell Ave UNIT 408, Charlotte, NC 28209",602,Sold 05/04/2023,"$204,000",1,1
"2915 Hampton Ave, Charlotte, NC 28207","2,319",Sold 05/02/2023,$1.10M,3,3
"1813 Lynnwood Dr, Charlotte, NC 28209",732,Sold 05/01/2023,"$358,000",2,1
"325 Queens Rd APT 6, Charlotte, NC 28204","1,562",Sold 05/01/2023,"$493,000",2,2
"2341 Selwyn Ave #C, Charlotte, NC 28207","1,000",Sold 05/01/2023,"$280,000",2,1
"2820 Chelsea Dr, Charlotte, NC 28209","2,804",Sold 05/01/2023,$1.52M,4,4
"1629 Sterling Rd, Charlotte, NC 28209","3,323",Sold 04/28/2023,$1.54M,5,4
"1206 S Kings Dr, Charlotte, NC 28203","3,860",Sold 04/28/2023,$1.83M,3,5
"837 Harvard Pl, Charlotte, NC 28207","5,461",Sold 04/26/2023,$4.65M,4,6
"1840 Sharon Ln, Charlotte, NC 28211","7,665",Sold 04/25/2023,$3.72M,6,7
