Address,Square ft,Sale Date,Price,Beds,Baths
"3263 Noda Blvd, Charlotte, NC 28205",585,Sold 05/19/2023,"$250,500",1,1
"2230 Electric Ln, Charlotte, NC 28205",--,Sold 04/27/2023,"$565,500",--,--
"2234 Electric Ln, Charlotte, NC 28205",--,Sold 04/27/2023,"$531,000",--,--
"2230 Electric Ln #LNO1461, Charlotte, NC 28205","1,786",Sold 04/27/2023,"$565,089",2,4
"2234 Electric Ln #LNO1460, Charlotte, NC 28205","1,567",Sold 04/27/2023,"$530,578",2,3
"2238 Electric Ln, Charlotte, NC 28205",--,Sold 04/26/2023,"$555,000",--,--
"3630 N Davidson St #3312, Charlotte, NC 28205","1,104",Sold 04/26/2023,"$449,370",2,2
"1127 E 35th St, Charlotte, NC 28205","1,456",Sold 04/25/2023,"$325,000",3,1
"2528 Pinckney Ave, Charlotte, NC 28205","2,342",Sold 04/25/2023,"$912,528",4,3
"501 E 37th St #H, Charlotte, NC 28205","1,154",Sold 04/25/2023,"$461,000",2,2
"849 Academy St, Charlotte, NC 28205","3,012",Sold 04/24/2023,"$700,000",4,4
"900 Herrin Ave, Charlotte, NC 28205","1,369",Sold 04/20/2023,"$440,000",3,1
"501 E 37th St #C, Charlotte, NC 28205","1,248",Sold 04/20/2023,"$505,000",2,2
"804 Academy St, Charlotte, NC 28205","1,122",Sold 04/18/2023,"$423,000",2,2
"3120 N Davidson St SUITE 200, Charlotte, NC 28205",424,Sold 04/18/2023,"$225,000",Studio,1
"927 Woodside Ave, Charlotte, NC 28205",990,Sold 04/17/2023,"$380,000",3,1
"701 E 37th St, Charlotte, NC 28205","1,432",Sold 04/12/2023,"$485,000",2,2
"721 E 37th St, Charlotte, NC 28205","1,820",Sold 04/06/2023,"$720,000",4,3
"3572 Artists Way, Charlotte, NC 28205","1,111",Sold 04/05/2023,"$415,000",2,2
"3246 Noda Blvd, Charlotte, NC 28205","1,721",Sold 04/04/2023,"$451,100",3,3
"3630 N Davidson St #4407, Charlotte, NC 28205","1,451",Sold 04/04/2023,"$559,170",2,3
"3009 N Myers St, Charlotte, NC 28205","1,656",Sold 03/29/2023,"$590,000",3,2
"3247 Wesley Ave, Charlotte, NC 28205",882,Sold 03/24/2023,"$305,000",1,1
"3630 N Davidson St #4402, Charlotte, NC 28205","1,092",Sold 03/21/2023,"$463,125",2,2
"3562 N Davidson St, Charlotte, NC 28205","1,289",Sold 03/15/2023,"$370,000",2,3
"2901 Yadkin Ave, Charlotte, NC 28205","2,322",Sold 03/14/2023,"$650,000",2,2
"432 E 33rd St, Charlotte, NC 28205","2,234",Sold 03/10/2023,"$705,000",4,5
"533 Steel Gardens Blvd, Charlotte, NC 28205","1,487",Sold 03/06/2023,"$443,500",2,3
"922 Steel House Blvd, Charlotte, NC 28205","3,012",Sold 03/03/2023,"$720,000",4,4
"2245 Electric Ln, Charlotte, NC 28205",--,Sold 03/01/2023,"$632,000",--,--
"935 Academy St, Charlotte, NC 28205",--,Sold 03/01/2023,"$789,000",--,--
"3637 Warp St, Charlotte, NC 28205",941,Sold 02/28/2023,"$317,500",2,2
"2253 Electric Ln, Charlotte, NC 28205",--,Sold 02/28/2023,"$529,500",--,--
"2249 Electric Ln, Charlotte, NC 28205",--,Sold 02/28/2023,"$549,500",--,--
"2257 Electric Ln, Charlotte, NC 28205",--,Sold 02/28/2023,"$675,000",--,--
"2257 Electric Ln #LNO1254, Charlotte, NC 28205","2,339",Sold 02/28/2023,"$675,000",3,5
"2253 Electric Ln #LNO1253, Charlotte, NC 28205","1,567",Sold 02/28/2023,"$529,181",2,3
"2245 Electric Ln #LNO1251, Charlotte, NC 28205","2,339",Sold 02/28/2023,"$631,861",3,5
"2249 Electric Ln #LNO1252, Charlotte, NC 28205","1,786",Sold 02/28/2023,"$549,473",2,4
"727 E 35th St, Charlotte, NC 28205","2,468",Sold 02/27/2023,"$810,000",4,3
"3505 Oakwood Ave, Charlotte, NC 28205",--,Sold 02/27/2023,"$787,000",--,--
"844 Academy St, Charlotte, NC 28205","1,111",Sold 02/23/2023,"$415,000",2,2
"924 Matheson Ave, Charlotte, NC 28205",952,Sold 02/17/2023,"$345,000",3,1
"921 Woodside Ave, Charlotte, NC 28205","1,812",Sold 02/17/2023,"$365,000",3,3
"513 Donatello Ave, Charlotte, NC 28205",956,Sold 02/14/2023,"$314,000",2,2
"3029 Clemson Ave, Charlotte, NC 28205","2,465",Sold 02/10/2023,"$760,000",4,3
"3630 N Davidson St #2213, Charlotte, NC 28205",967,Sold 02/10/2023,"$386,000",1,1
"1444 Winston Dr, Charlotte, NC 28205",930,Sold 02/09/2023,"$285,000",3,1
"1403 Herrin Ave, Charlotte, NC 28205","1,604",Sold 02/06/2023,"$356,900",3,2
"3505 Oakwood Ave, Charlotte, NC 28205",--,Sold 02/27/2023,"$787,000",--,--
"844 Academy St, Charlotte, NC 28205","1,111",Sold 02/23/2023,"$415,000",2,2
"924 Matheson Ave, Charlotte, NC 28205",952,Sold 02/17/2023,"$345,000",3,1
